epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,801.141,0.53885,1.07156,0.87508,0.97732,0,0.85077,0.72171,0.7937,0.68867,0.81084,0.7355,0.76864,0.68858,0.57894,1.26022,0.87617,1.03774,0,0.000350794,0.000350794,0.000350794
39,824.058,0.54647,1.02579,0.8294,0.99018,0,0.86681,0.76617,0.81845,0.71936,0.8441,0.75838,0.79061,0.70813,0.56391,1.47021,0.84134,1.02521,0,0.000343611,0.000343611,0.000343611
40,847.212,0.55188,1.05266,0.87396,0.99618,0,0.86839,0.76795,0.82734,0.71399,0.85971,0.76575,0.7963,0.70538,0.55191,1.17606,0.80056,1.02883,0,0.000336338,0.000336338,0.000336338
41,871.069,0.57537,1.03264,0.87815,1.00437,0,0.91865,0.77807,0.84508,0.7144,0.89571,0.7595,0.806,0.71563,0.59185,1.16908,0.76056,1.04405,0,0.000328982,0.000328982,0.000328982
42,894.327,0.55856,0.97845,0.85692,0.99253,0,0.87197,0.75787,0.80021,0.69798,0.8743,0.75738,0.79255,0.6995,0.56619,1.22095,0.86424,1.03214,0,0.00032155,0.00032155,0.00032155
43,917.666,0.56424,1.14494,0.90085,0.99508,0,0.78417,0.75197,0.79682,0.69813,0.82221,0.75232,0.78223,0.69441,0.5364,1.2378,0.93858,1.00316,0,0.000314051,0.000314051,0.000314051
44,940.479,0.55305,1.06331,0.87723,0.99368,0,0.8006,0.78389,0.8091,0.71038,0.78542,0.775,0.77246,0.69434,0.54472,1.23669,0.83403,1.00776,0,0.00030649,0.00030649,0.00030649
45,964.643,0.53302,1.04767,0.83973,0.98752,0,0.84944,0.75991,0.81533,0.72404,0.82967,0.75274,0.78381,0.67633,0.51317,1.45607,0.78199,0.98972,0,0.000298877,0.000298877,0.000298877
46,991.35,0.54827,1.0704,0.82043,0.98911,0,0.86023,0.78268,0.84039,0.74041,0.84947,0.76019,0.80545,0.72379,0.4873,1.26491,0.77383,0.97697,0,0.000291218,0.000291218,0.000291218
47,1020.08,0.52286,1.02127,0.76913,0.96963,0,0.85389,0.78189,0.83978,0.73882,0.83255,0.76582,0.79205,0.72056,0.50124,1.14244,0.76244,0.98649,0,0.00028352,0.00028352,0.00028352
48,1048.64,0.51157,0.97645,0.77007,0.96587,0,0.81903,0.78724,0.81541,0.70512,0.79014,0.75336,0.75842,0.6812,0.52035,1.407,0.78627,1.00276,0,0.000275792,0.000275792,0.000275792
49,1076.29,0.50499,0.9799,0.71649,0.97062,0,0.84191,0.7451,0.82045,0.71645,0.751,0.74909,0.75999,0.68672,0.51202,1.2935,0.75235,1.00585,0,0.000268041,0.000268041,0.000268041
50,1104.23,0.51452,0.96065,0.77149,0.96933,0,0.81744,0.76794,0.82021,0.72318,0.80213,0.75401,0.79056,0.70287,0.55924,1.24034,0.77949,1.02905,0,0.000260274,0.000260274,0.000260274
